"Dataset: ACS 1-Year Estimates Public Use Microdata Sample (2015)"
"Weight: PUMS person weight (PWGTP)"
"Universe:"
"Selected Geographies:"
"  California"
"","","Selected Geographies"
"Group","Recode for Total person's income (use ADJINC to adjust to constant dollars)","California"
"","Total","30,405,074"
" -> 00 to 17","","1,535,525"
" -> 00 to 17 -> Male","","779,216"
" -> 00 to 17 -> Male -> High school or equivalent","","19,562"
" -> 00 to 17 -> Male -> High school or equivalent -> White","","9,268"
"","$5,000 to $9,999","1,098"
"","$10,000 to $14,999","482"
"","$15,000 to $24,999","527"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","52"
"","No Income","7,109"
" -> 00 to 17 -> Male -> High school or equivalent -> African American","","1,102"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","1,102"
" -> 00 to 17 -> Male -> High school or equivalent -> Native American","","68"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","68"
" -> 00 to 17 -> Male -> High school or equivalent -> Asian","","4,120"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","258"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","3,862"
" -> 00 to 17 -> Male -> High school or equivalent -> Other","","5,004"
"","$5,000 to $9,999","594"
"","$10,000 to $14,999","121"
"","$15,000 to $24,999","352"
"","$25,000 to $34,999","311"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","3,626"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree","","6,428"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> White","","2,454"
"","$5,000 to $9,999","83"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","248"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","126"
"","$50,000 to $74,999","0"
"","$75,000 and over","35"
"","No Income","1,962"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> African American","","334"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","334"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> Native American","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> Asian","","2,217"
"","$5,000 to $9,999","146"
"","$10,000 to $14,999","198"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","1,873"
" -> 00 to 17 -> Male -> Some college, less than 4-yr degree -> Other","","1,423"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","46"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","33"
"","$75,000 and over","0"
"","No Income","1,344"
" -> 00 to 17 -> Male -> Bachelor's degree or higher","","0"
" -> 00 to 17 -> Male -> Bachelor's degree or higher -> White","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Male -> Bachelor's degree or higher -> African American","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Male -> Bachelor's degree or higher -> Native American","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Male -> Bachelor's degree or higher -> Asian","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Male -> Bachelor's degree or higher -> Other","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Male -> No high school diploma","","753,226"
" -> 00 to 17 -> Male -> No high school diploma -> White","","441,408"
"","$5,000 to $9,999","13,466"
"","$10,000 to $14,999","3,551"
"","$15,000 to $24,999","2,584"
"","$25,000 to $34,999","249"
"","$35,000 to $49,999","105"
"","$50,000 to $74,999","187"
"","$75,000 and over","78"
"","No Income","421,188"
" -> 00 to 17 -> Male -> No high school diploma -> African American","","43,666"
"","$5,000 to $9,999","1,319"
"","$10,000 to $14,999","797"
"","$15,000 to $24,999","327"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","41,223"
" -> 00 to 17 -> Male -> No high school diploma -> Native American","","4,274"
"","$5,000 to $9,999","35"
"","$10,000 to $14,999","95"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","11"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","4,133"
" -> 00 to 17 -> Male -> No high school diploma -> Asian","","80,481"
"","$5,000 to $9,999","1,716"
"","$10,000 to $14,999","530"
"","$15,000 to $24,999","486"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","131"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","77,618"
" -> 00 to 17 -> Male -> No high school diploma -> Other","","183,397"
"","$5,000 to $9,999","4,662"
"","$10,000 to $14,999","1,466"
"","$15,000 to $24,999","303"
"","$25,000 to $34,999","56"
"","$35,000 to $49,999","61"
"","$50,000 to $74,999","0"
"","$75,000 and over","239"
"","No Income","176,610"
" -> 00 to 17 -> Female","","756,309"
" -> 00 to 17 -> Female -> High school or equivalent","","24,683"
" -> 00 to 17 -> Female -> High school or equivalent -> White","","13,241"
"","$5,000 to $9,999","835"
"","$10,000 to $14,999","140"
"","$15,000 to $24,999","288"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","11,978"
" -> 00 to 17 -> Female -> High school or equivalent -> African American","","1,171"
"","$5,000 to $9,999","53"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","30"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","1,088"
" -> 00 to 17 -> Female -> High school or equivalent -> Native American","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Female -> High school or equivalent -> Asian","","3,884"
"","$5,000 to $9,999","4"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","3,880"
" -> 00 to 17 -> Female -> High school or equivalent -> Other","","6,387"
"","$5,000 to $9,999","216"
"","$10,000 to $14,999","107"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","167"
"","$35,000 to $49,999","57"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","5,840"
" -> 00 to 17 -> Female -> Some college, less than 4-yr degree","","8,629"
" -> 00 to 17 -> Female -> Some college, less than 4-yr degree -> White","","4,086"
"","$5,000 to $9,999","335"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","65"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","3,686"
" -> 00 to 17 -> Female -> Some college, less than 4-yr degree -> African American","","1,016"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","146"
"","$15,000 to $24,999","163"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","707"
" -> 00 to 17 -> Female -> Some college, less than 4-yr degree -> Native American","","288"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","288"
" -> 00 to 17 -> Female -> Some college, less than 4-yr degree -> Asian","","1,376"
"","$5,000 to $9,999","47"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","1,329"
" -> 00 to 17 -> Female -> Some college, less than 4-yr degree -> Other","","1,863"
"","$5,000 to $9,999","205"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","62"
"","$50,000 to $74,999","59"
"","$75,000 and over","0"
"","No Income","1,537"
" -> 00 to 17 -> Female -> Bachelor's degree or higher","","0"
" -> 00 to 17 -> Female -> Bachelor's degree or higher -> White","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Female -> Bachelor's degree or higher -> African American","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Female -> Bachelor's degree or higher -> Native American","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Female -> Bachelor's degree or higher -> Asian","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Female -> Bachelor's degree or higher -> Other","","0"
"","$5,000 to $9,999","0"
"","$10,000 to $14,999","0"
"","$15,000 to $24,999","0"
"","$25,000 to $34,999","0"
"","$35,000 to $49,999","0"
"","$50,000 to $74,999","0"
"","$75,000 and over","0"
"","No Income","0"
" -> 00 to 17 -> Female -> No high school diploma","","722,997"
